node_1,node_2,edge
Probabilistic Generating Circuits (PGCs),Probabilistic Circuits (PCs),unifies
Probabilistic Generating Circuits (PGCs),Determinantal Point Processes (DPPs),unifies
Probabilistic Generating Circuits (PGCs),probability generating polynomial,computes
Probabilistic Circuits (PCs),probability mass function,computes
Probabilistic Generating Circuits (PGCs),negative weights,allows
Probabilistic Circuits (PCs),nonnegative weights,assumes
negative weights,power of PGCs,cause
PGCs,PCs with negative weights,transformed into
PGCs,binary variables,defined for
PGCs,categorical variables with larger image size,does not support tractable marginalization
categorical variables with larger image size,PC with negative weights,modeled as
PC with negative weights,set-multilinear polynomials,computes
PCs with negative weights,PGCs,strictly subsumes
Probabilistic circuits,Probabilistic generating circuits,are equivalent for binary variables
Probabilistic generating circuits,marginalization,hardness of marginalization for at least four categories
Probabilistic circuits,negative weights,PCs with negative weights strictly subsume PGCs
Probabilistic generating circuits,negative weights,PCs with negative weights strictly subsume PGCs
Probabilistic modeling,tractable probabilistic models,is a central task that requires TPMs
Tractable probabilistic models,efficient probabilistic inference,allow for
Probabilistic models,expressive efficiency,should be as expressive efficient as possible
Set-multilinear polynomials,tractable marginalization,allow for
probabilistic models,expressiveness,should be as expressive as possible
expressiveness,tractability,tradeoff between
tractability,probabilistic inference,harder with more expressiveness
bounded treewidth graphical models,tractable models,example of
determinantal point processes,tractable models,example of
probabilistic circuits,tractable models,example of
probabilistic circuits,sum-product networks,type of
probabilistic circuits,probability mass functions,compute
probabilistic circuits,nonnegative weights,requires for syntactic reasons
decomposable PCs,tractable,are tractable for syntactic reasons
decomposable PCs,product gates,scopes are disjoint
determinantal point processes,probabilistic circuits,compared in Zhang et al. (2020)
