node_1,node_2,edge
Gaussian process regression,closed form conditioning,enables
Gaussian process regression,independent and identically distributed Gaussian observation noise,assumes
robust Gaussian process regression,closed form conditioning,breaks
robust and conjugate Gaussian process regression,generalised Bayesian inference,uses
robust and conjugate Gaussian process regression,closed form updates,enables
robust and conjugate Gaussian process regression,Bayesian optimisation,deployed for
robust and conjugate Gaussian process regression,sparse variational Gaussian processes,deployed for
Gaussian processes (GPs),mean and covariance functions,are interpretable and elicited through choice of
Gaussian processes (GPs),closed form posteriors,have under Gaussian likelihoods
Gaussian processes (GPs),convergence,well understood under prior misspecification
Gaussian processes (GPs),single- and multi-output regression,applied to
Gaussian processes (GPs),emulation of expensive simulators,applied to
Gaussian processes (GPs),Bayesian optimisation,applied to
Gaussian processes (GPs),Bayesian deep learning,applied to
Gaussian processes (GPs),GPflow,enabled by package
Gaussian processes (GPs),GPyTorch,enabled by package
Gaussian processes (GPs),BoTorch,enabled by package
Gaussian processes (GPs),ProbNum,enabled by package
Gaussian processes (GPs),emukit,enabled by package
GPyTorch,"Gardner et al., 2018",authored by
BoTorch,"Balandat et al., 2020",authored by
ProbNum,"Wenger et al., 2021",authored by
emukit,"Paleyes et al., 2023",authored by
Gaussian processes (GPs),regression,commonly used for
observations,noisy realisations,correspond to
noisy realisations,unknown latent function,derived from
unknown latent function,GP prior,drawn from
Gaussian observation noise,conjugate GP posterior distribution,enables
Gaussian observation noise,GPs,makes robust
Gaussian observation noise,"extreme values, heterogeneities, outliers",susceptible to
standard GP,outliers,adversely affected by
outliers,real-world applications,inevitable in
lack of robustness in GPs,fundamental challenge,is a
methods to address lack of robustness,two categories,fall into
first category,Gaussian measurement error,replaces
