node_1,node_2,edge
Large Language Models (LLMs),Multi-Head Attention,contains as a key component
Multi-Head Attention,LLMs memory and compute requirement,accounts for over 50% of
Clustered Head Attention (CHAI),Multi-Head Attention,improves upon by combining correlated heads
Clustered Head Attention (CHAI),"K,V cache memory",reduces memory requirements for storing
Clustered Head Attention (CHAI),inference time latency,reduces
Clustered Head Attention (CHAI),fine-tuning,does not require
Clustered Head Attention (CHAI),accuracy,achieves with maximum 3.2% deviation
heads,tokens,pay attention to with redundancy across heads
language modelling tasks,question answering,includes
language modelling tasks,text summarizing,includes
language modelling tasks,language translation,includes
model size,model quality,increases
LLMs,inference challenges,introduces
self-attention,quadratic computation cost,has
LLMs,Key (K) and Value (V) pairs,stores
"K,V cache",memory challenges,introduces
"K,V cache size",sequence length,increases with
CHAI,clustering attention heads,proposed method for
LLAMA-7B,Arc-Challenge dataset,evaluated on
next word prediction,"K,V caching",introduces memory challenges for
"K,V cache",sequence length,size increases with increase in
LLMs,Multi-Head Attention (MHA),use
Multi-Head Attention (MHA),attention heads,uses several
LLAMA-7B,attention heads,uses 32 per layer
LLAMA-65B,attention heads,uses 64 per layer
MHA,bottlenecks for serving LLMs,exacerbates
MHA,compute pressure,increases due to repeated attention operation
MHA,memory pressure,"increases due to K,V caches from additional heads"
pruning of LLMs,sparsity,utilizes based on input context
Co-designing of Attention module,Multi-Query Attention (MQA),includes method like
Co-designing of Attention module,Grouped-Query Attention (GQA),includes method like
Multi-Query Attention (MQA),components across multiple heads,reuses
Grouped-Query Attention (GQA),components across multiple heads,reuses
