node_1,node_2,edge
Graph Neural Networks,Generalization Error,assessed for
Generalization Error,over-parameterized regime,studied in
Graph Neural Networks,graph convolutional neural networks,includes type
Graph Neural Networks,message passing graph neural networks,includes type
Generalization Error,upper bounds,derived as
upper bounds,mean-field regime,derived within
upper bounds,convergence rate,has
convergence rate,O(1/n),equals
n,number of graph samples,represents
Graph Neural Networks (GNNs),graphs,operate on
GNNs,state-of-the-art performance,achieve
GNNs,social networks,applied to
GNNs,recommendation systems,applied to
GNNs,computer vision,applied to
GNN learning theory,generalization performance,explains
GNN learning theory,generalization error,investigates
generalization error,risk function,quantified by
generalization error,training data set,compares performance on
generalization error,unseen data,compares performance on
performance,risk function,assessed through
performance,training data set,evaluated on
performance,previously unseen data,compared with
generalization error,GNNs,focuses on
over-parameterized GNN models,mean-field regime,exhibits generalization performance in
mean-field regime,training of neural networks,provides perspective on
mean-field regime,optimal weights,frames as sampling challenge
learning algorithm,optimal distribution,discerns in parameter space
mean-field perspective,generalization behavior,provides insights into
generalization error,graph classification tasks,upper bounds provided for
