node_1,node_2,edge
Standardized Interpretable Fairness Measures,Continuous Risk Scores,are designed for
Standardized Interpretable Fairness Measures,Wasserstein distance,based on
Standardized Interpretable Fairness Measures,group disparities,quantifies and interprets
Standardized Interpretable Fairness Measures,ROC-based fairness measures,outperforms
Fairness measures,scores,are defined for
Machine learning algorithms,risk scores,assign
Decision-making processes,"finance, education, social media, medicine",automated in areas such as
algorithms,individuals,assign risk scores or risk categories to
algorithms,discrimination,risk of directly or indirectly discriminating against
discrimination,protected characteristics,based on
protected characteristics,gender,includes
protected characteristics,ethnicity,includes
protected characteristics,political background,includes
protected characteristics,sexual orientation,includes
discriminatory predictions,protected groups,manifest as disparities among
discriminatory predictions,different scores,may assign to individuals belonging to different protected groups
discriminatory predictions,ground-truth risk,may have different levels of consistency with
notions of algorithmic fairness,incompatible,are often
algorithmic fairness,incompatible notions,are characterized as
algorithmic fairness,group disparities,aims to quantify
group disparities,measures for algorithmic fairness,are quantified by
binary decision tasks,algorithmic fairness,is discussed in context of
score model,continuous risk score models,is a type of
COMPAS Score,score model,is an example of
COMPAS Score,decisions by other entities,supports
risk-based pricing,score model,is affected by
fairness,disparities between groups,is assessed by summarizing
continuous risk score models,group disparities,quantifies
standardized framework,monitoring bias,allows for
