node_1,node_2,edge
Unsupervised Reinforcement Learning,skill discovery,is a framework for
empowerment-driven skill discovery,static skills,often leads to
entropy-based exploration,state coverage,maximizes
Constrained Ensemble Exploration,unsupervised skill discovery,is a method for
ensemble of skills,partition exploration,performs
partition exploration,state prototypes,based on
ensemble skills,overall state coverage,maximize
state-distribution constraints,skill occupancy,adopted for
state-distribution constraints,desired cluster,adopted for
desired cluster,distinguishable skills,helps learn
Reinforcement Learning (RL),decision-making,demonstrates strong abilities in
Reinforcement Learning (RL),game AI,applied to
Reinforcement Learning (RL),self-driving cars,applied to
Reinforcement Learning (RL),robotic manipulation,applied to
Reinforcement Learning (RL),locomotion tasks,applied to
Reinforcement Learning (RL),well-defined reward functions,relies on
well-defined reward functions,physical prior and domain knowledge,based on
well-defined reward functions,difficult to design,can be
unsupervised learning,language and vision,benefited
unsupervised learning,auto-regressive pre-training,includes
auto-regressive pre-training,Large Language Model (LLM),used for
unsupervised learning,unsupervised representation learning for images,includes
unsupervised representation learning for images,various language and vision tasks,benefits
unsupervised RL,meaningful behaviors,aims to learn
unsupervised RL,meaningful behaviors,aims to learn
unsupervised RL,downstream tasks,learned behaviors used to solve
unsupervised RL,fast adaptation,enables
unsupervised RL,generalizable RL,contributes to
empowerment-driven skill discovery,distinguishable skills,learns
Mutual Information (MI),skills and trajectories,maximized between
Mutual Information (MI),skill-conditional policies,leads to discriminating
MI objective,static skills,generates
MI objective,poor state coverage,associated with
Lipschitz constraints,poor state coverage,partially addresses
random-walk guidance,poor state coverage,partially addresses
MI estimation,variational estimators,needs
variational estimators,sampling,based on
MI estimation,high-dimensional environments,challenging in
MI estimation,stochastic environments,challenging in
MI estimation,sub-optimal performance,leads to
pure exploration,curiosity,uses
pure exploration,state entropy,uses
pure exploration,state coverage,maximizes
pure exploration,meaningful behaviors,does not focus on learning
