node_1,node_2,edge
Iterative methods,Large-scale scientific computing,used in
Meta-learning,Acceleration of iterative methods,proposed to accelerate
Learning-based acceleration approaches,Classical meta-learning,departs from
Departure from classical meta-learning,Model performance deterioration,may lead to
Modified loss objective,Learning-based acceleration,ameliorates deterioration in
Novel training method,Acceleration of iterative algorithms,leads to
Iterative design process,Structural simulations,involves
Systems biology,Estimation problems,involves challenging
structural simulations,numerical simulations,is a type of
systems biology,parameter estimation,involves
parameter estimation,mathematical models,estimates parameters of
mathematical models,biological systems,model
inverse problem,numerical simulations,requires
machine learning,solving problems efficiently,enables
learning-based methods,repeated solutions,proposed for
direct prediction of solutions,supervised learning,is a type of
machine learning,traditional scientific computing,can be coupled with
iterative algorithms,acceleration,focus of paper
iterative algorithms,meta-learning,accelerated by
meta-learning,Multi-grid Network,generates smoothers for
meta-learning,Runge-Kutta method,learns effective solvers based on
meta-learning,physics-informed neural networks,accelerates training of
gradient-based meta-learning,iterative methods,may not necessarily lead to acceleration in
training methods,desirable outcomes for scientific computing,mismatch between
minimizing solution error,speeding up computation,does not necessarily
