node_1,node_2,edge
Counterexample-guided repair,Neural networks,aims at creating neural networks with mathematical safety guarantees
Counterexample-guided repair,Robust optimisation algorithm,can be viewed as
Counterexample-guided repair,Termination guarantees,termination remains an open question
Counterexample-guided repair,Machine learning models,proves termination for more restrained models
Counterexample-guided repair,General setting,disproves termination in a general setting
Common verifiers and falsifiers,Repair,suitable for repair despite disadvantageous theoretical result
Novel algorithm,Linear regression models,repairs linear regression models based on quadratic programming
Neural networks,Medical diagnosis,used for
Neural networks,Autonomous aircraft control,used for
Neural networks,Self-driving cars,used for
Neural networks,Safety-critical domains,applied in
Formal methods,Neural networks,provide guarantees for
Verification,Neural networks,part of formal methods for
Repair,Neural networks,part of formal methods for
Automated repair,Safe neural networks,vital component for creating
Alternating search for violations and removal of violations,Repairing neural networks,popular approach for
counterexample-guided repair,neural network,repairs
counterexample-guided repair,counterexamples,uses
counterexample-guided repair,robust optimisation,viewed as algorithm for solving
counterexample-guided repair,linear regression models,shows termination and optimality for
counterexample-guided repair,linear classifiers,shows termination and optimality for
counterexample-guided repair,single ReLU neurons,shows termination and optimality for
counterexample-guided repair,ReLU networks,disproves termination for repairing with unbounded input set
counterexample-guided repair,generic counterexamples,disproves termination when using
counterexample-guided repair,specification,satisfies
neural network,specification,violates
