node_1,node_2,edge
Implicit Graph Neural Networks (IGNNs),fixed-point equilibrium equation,solves using Picard iteration
Implicit Graph Neural Networks (IGNNs),long-range dependencies (LRD),learns
Implicit Graph Neural Networks (IGNNs),expressivity,limited by parameterizations for well-posedness guarantee
Implicit Graph Neural Networks (IGNNs),instability,suffers from in learning LRD
Implicit Graph Neural Networks (IGNNs),computational inefficiency,suffers from when learning LRD
monotone operator theory,well-posedness characterization,provides new characterization for IGNNs
monotone operator theory,expressive parameterization,enables more expressive parameterization than existing
Cayley transform,orthogonal parameterization,used to propose orthogonal parameterization for IGNN
orthogonal parameterization,learning LRD,stabilizes
Anderson-accelerated operator splitting schemes,fixed point of equilibrium equation,efficiently solves for
Anderson-accelerated operator splitting schemes,monotone or orthogonal parameterization,applied to IGNN with
Implicit graph neural networks (IGNNs),fixed-point equilibrium equation,solves using Picard iteration
Implicit graph neural networks (IGNNs),graph representation learning,used for
Implicit graph neural networks (IGNNs),long-range dependencies (LRD),can learn
graph,nodes,consists of set of
graph,edges,consists of set of
graph,adjacency matrix A,connectivity represented by
adjacency matrix A,"nodes i, j",indicates edge between
initial node features X,nodes,associated with
IGNN,node representation,learns by finding fixed point
Picard iteration,fixed point Z*,finds
Picard iteration,nonlinearity σ,uses
Picard iteration,function gB,includes
function gB,parameter B,parameterized by
matrices W and B,learnable weights,are
IGNN,graph-related matrix G,chooses as
graph-related matrix G,ˆA,is chosen as
ˆA,identity matrix I,includes
ˆA,degree matrix ˆD,uses for normalization
IGNN,graph-related matrix G,uses as input
IGNN,Â,uses as graph matrix
Â,identity matrix I,includes
Â,degree matrix D̂,includes
IGNN,fΘ(Z*),prediction given by
IGNN,adaptive depth,has merit of
IGNN,constant memory independent of depth,has merit of
IGNN,implicit differentiation,leverages for training
IGNN,long-range dependencies (LRD),has better potential to capture
IGNN,GCN,outperforms in LRD capture
IGNN,GAT,outperforms in LRD capture
IGNN,SSE,outperforms in LRD capture
IGNN,SGC,outperforms in LRD capture
IGNN,bias term,uses to overcome over-smoothing
IGNN,limited expressivity,has issue of
IGNN,instability in learning LRD,has issue of
IGNN,inefficiency in learning LRD,has issue of
well-posedness of IGNN,limited expressivity,causes
IGNN,weight matrix W,constrains via projected gradient descent
projected gradient descent method,Picard iteration,ensures well-posedness of
IGNN,directed chains dataset,tested on for LRD learning
