node_1,node_2,edge
Constrained Causal Bayesian Optimization,cCBO,abbreviation for
Constrained Causal Bayesian Optimization,interventions,finds interventions in a known causal graph
Constrained Causal Bayesian Optimization,target variable,optimizes a target variable
Constrained Causal Bayesian Optimization,constraints,ensures interventions satisfy constraints
cCBO,search space,reduces search space by exploiting graph structure
cCBO,observational dataset,uses observational dataset if available
cCBO,Gaussian processes,models target and constraint quantities using Gaussian processes
cCBO,constrained expected improvement acquisition function,selects interventions via constrained expected improvement acquisition function
cCBO,surrogate models,proposes different surrogate models
surrogate models,observational and interventional data,integrate observational and interventional data
surrogate models,correlation among effects,capture correlation among effects
cCBO,artificial and real-world causal graphs,evaluated on artificial and real-world causal graphs
cCBO,fast convergence,shows trade-off between fast convergence and percentage of feasible interventions
cCBO,feasible interventions,percentage of feasible interventions
protein-signalling network,Fig. 1(a),depicted in
protein-signalling network,causal pathways,describes causal pathways linking phosphorylated proteins
Mek,Erk,causal pathway
PKC,Erk,causal pathway
PKA,Erk,causal pathway
Akt,Erk,causal pathway
Raf,PKA,causal relationship
Raf,Jnk,causal relationship
Weight,PSA,causal relationship
Age,PSA,causal relationship
BMI,PSA,causal relationship
Aspirin,PSA,causal relationship
Statin,PSA,causal relationship
Calories Intake,PSA,causal relationship
Mek,Erk,target variable
PSA,Erk,target variable
PKA,PKC,constrained variable
BMI,PSA,constrained variable
Aspirin,PSA,intervention variable to minimize
Statin,PSA,intervention variable to minimize
Calories Intake (CI),PSA,intervention variable to minimize
BMI,PSA,constraint variable to keep below a certain value
constrained causal Bayesian optimization (cCBO),constrained optimization problem,method for solving
causal Bayesian optimization,constrained causal Bayesian optimization (cCBO),builds on
constrained Bayesian optimization,constrained causal Bayesian optimization (cCBO),builds on
multi-task learning with Gaussian processes (GPs),constrained causal Bayesian optimization (cCBO),builds on
structural causal models (SCMs),constrained optimization problem,framework for formalization
intervention sets,search space,reduces cardinality of
GP surrogate models,unknown target and constraint quantities,models for
interventional data,GP surrogate models,leveraged by
SCM observational data,GP surrogate models,leveraged by
constrained expected improvement acquisition function,interventions,selects sequentially
