node_1,node_2,edge
IBCircuit,circuit discovery,is a method for
IBCircuit,Information Bottleneck,based on principle of
circuit discovery,language models,explains behaviors of
circuit discovery,computational subgraphs,identifies
computational subgraphs,circuits,also known as
IBCircuit,holistic circuit discovery,is an optimization framework for
IBCircuit,corrupted activation design,does not require
IBCircuit,Indirect Object Identification (IOI),applied to
IBCircuit,Greater-Than tasks,applied to
IBCircuit,faithful and minimal circuits,identifies
circuit discovery,language models,identifies subgraphs within
circuit discovery,subgraphs,identifies
subgraphs,circuits,are also known as
circuits,specific tasks,responsible for solving
language models,components,contain
components,attention heads,include
components,MLPs,include
attention heads,Transformers,part of
MLPs,Transformers,part of
circuits,model behaviors,explain
model behaviors,Indirect Object Identification,includes tasks like
model behaviors,modular arithmetic,includes tasks like
model behaviors,forecasting subsequent dates,includes tasks like
circuit discovery,black boxes,challenged by
language models,black boxes,are complex
black boxes,non-linear interactions,involve
black boxes,densely-connected layers,involve
language models,complex black boxes,are hidden in
language models,complex non-linear interactions,involve
language models,densely-connected layers,involve
language models,high-dimensional space,embed in
circuit discovery,language models,seeks to decode
circuit discovery,reverse engineering,uses
activation patching,circuit discovery,is a method of
attribution patching,circuit discovery,is a method of
activation patching,causal interventions,performs
activation patching,holistic system,ignores that circuit is a
attribution patching,gradient methods,estimates importance based on
attribution patching,corrupted activations,needs to redesign
ideal minimal circuit,essential components,should contain only
ideal minimal circuit,irrelevant components,should exclude
circuit discovery,Information,aligns with objective of
