node_1,node_2,edge
Star Attention,block-sparse approximation,is a type of
Star Attention,two-phase,has phases
Star Attention,blockwise-local attention,uses in first phase
Star Attention,sequence-global attention,uses in second phase
Star Attention,LLM inference,improves efficiency of
Star Attention,Transformer-based LLMs,integrates with
self-attention mechanism,quadratic complexity,has
Star Attention,memory requirements,reduces
Star Attention,inference time,reduces
Star Attention,accuracy,preserves
self-attention mechanism,long-context capabilities,drives research into computational challenges
self-attention mechanism,attention matrix,requires materialization of
attention matrix,blockwise processing techniques,leads to
blockwise processing techniques,distributed computation,further optimized through
autoregressive decoding,every previous token,attends to
autoregressive decoding,high computational costs,results in
long-context sequences,high computational costs,causes
long inputs,chunks,segmented into
chunks,user query,attended to using
segmenting long inputs into chunks,fine-tuning the model,often requires
segmenting long inputs into chunks,additional components,may introduce
Star Attention,efficient LLM long-context inference,introduces algorithm for
Star Attention,LLM long-context inference,is an algorithm for efficient
LLM inference,prompt encoding,has stage
LLM inference,token generation,has stage
prompt encoding,KV vectors,stores in cache
token generation,KV cache,attends to
token generation,new tokens,generates autoregressively
token generation,KV cache,updates with new KV vectors
long-context tasks,long context,consists of
long-context tasks,short query,followed by
long-context tasks,short answer,followed by
context tokens,nearby tokens,attend only to
query tokens,all prior tokens,need to attend to
Star Attention,two-phase approach,utilizes
two-phase approach,Context Encoding,phase 1
two-phase approach,Query Encoding and Token Generation,phase 2
Context Encoding,contiguous blocks,divides context into
Context Encoding,context hosts,distributes blocks across
context hosts,anchor block,receives copy of first block
context hosts,self-attention,computes for assigned blocks
Context Encoding,Ring Attention,similar to but without ring communication
Query Encoding and Token Generation,query,replicates across all hosts
query,KV cache,initially attends to
