node_1,node_2,edge
No-Regret,Bandits with General Constraints,is not sufficient for
Bandits with General Constraints,Bandits with Knapsacks (BwK),generalizes
Bandits with Knapsacks (BwK),resource-consumption constraints,has
Bandits with General Constraints,long-term constraints,has
learner,cumulative reward,maximizes
learner,cumulative constraints violations,minimizes
conventional methods for BwK,sublinear violations,fail to yield
weakly adaptive algorithm,primal and dual algorithm,required for
weakly adaptive primal and dual regret minimizers,self-bounding behavior of dual variables,leads to
self-bounding behavior,dual variables,bounds norm of
dual variables,upper bounded,remains
Slater’s parameter ρ,problem,characterizes
algorithm,stochastic inputs,guarantees sublinear regret for
algorithm,adversarial inputs,establishes competitive ratio for
competitive ratio,ρ/(1 + ρ),equals
constraints violations,sublinear in time,are guaranteed to be
competitive ratio,ρ/(1 + ρ),equals
constraints violations,sublinear in time,guaranteed to be
contextual bandits with linear constraints,no-α-regret guarantees,provides
no-α-regret guarantees,adversarial contexts,for
decision maker,cumulative reward,maximizes
cumulative reward,time horizon T,over
decision maker,long-term constraints,subject to
learner,xt,chooses
learner,reward ft(xt),observes
learner,constraint functions gt(xt),observes
problem,sequence of decisions,finds
sequence of decisions,best fixed decision in hindsight,close to
long-term constraints,sublinear violations,satisfied up to
bandits with knapsacks (BwK),resource-consumption constraints,has
"inputs (ft, gt)",stochastic,may be
"inputs (ft, gt)",adversarial,may be
"Inputs (ft, gt)",stochastic or adversarial,can be either
Goal,designing algorithms,involves
algorithms,guarantees for both input models,provide
primal-dual approaches,LagrangeBwK framework,based on
primal-dual frameworks,control magnitude of dual variables,need to
dual variables,loss function of primal algorithm,appear in
dual variables,no-regret guarantees,influence
knapsack constraints,strictly feasible solution with Slater’s parameter ρ,exploited by
Slater’s parameter ρ,void action,consists of
void action,zero reward and resource consumption,yields
"frameworks of (Balseiro et al., 2022; Castiglioni et al., 2022a)",boundedness of dual multipliers,guarantee
boundedness of dual multipliers,"explicit projection step on interval [0, 1/ρ]",achieved through
settings with general constraints beyond resource consumption,learner knows Slater’s parameter ρ a priori,unreasonable to assume
problem of operating without knowledge of ρ,stochastic setting,addressed in
