node_1,node_2,edge
Lightweight Protocols,Distributed Private Quantile Estimation,used for
Distributed data analysis,user devices,driven by proliferation of
Distributed data analysis,privacy concerns,driven by
adaptive algorithms,quantile estimation,used for
local differential privacy (LDP),quantile estimation,provides privacy for
shuffle differential privacy (shuffle-DP),quantile estimation,provides privacy for
ε-LDP algorithm,quantile,estimates
"(ε, δ)-shuffle DP algorithm",quantile,estimates
adaptive protocols,lower bound,has matching
LDP algorithm,low-ε regime,optimal in
non-adaptive protocols,lower bounds,established against
adaptive case,non-adaptive protocols,fundamental separation between
federated computations,distributed dataset,run on
federated computations,centralized manner,contrasted with
federated computations,protect individuals’ data,motivated by
federated computations,avoid liability issues,motivated by
federated computations,differential privacy (DP),uses for formal privacy guarantees
differential privacy (DP),probability distribution,selects output from
differential privacy (DP),local differential privacy (LDP),includes as a setup
local differential privacy (LDP),user,each user sends output to
local differential privacy (LDP),central analyzer,sends output to
central analyzer,user outputs,uses to approximate a function
differentially private algorithm,central analyzer,sends outputs to
central analyzer,function of the inputs,approximates
Local Differential Privacy (LDP),federated computations,used in
Local Differential Privacy (LDP),differential privacy,is an approach to
Local Differential Privacy (LDP),industrial deployments,used in
Local Differential Privacy (LDP),privacy-utility trade-offs,has upper and lower bounds on
pure differential privacy,Local Differential Privacy (LDP),commonly considered under
non-adaptive protocol,approximate differential privacy,satisfies
non-adaptive protocol,pure differential privacy,can be converted to
LDP algorithms,sophisticated algorithms,used as building blocks of
sophisticated algorithms,privacy utility trade-offs,offer better
shuffle model,LDP algorithms,example of using
quantile estimation,local differential privacy constraints,studied under
dataset X,n datapoints,consists of
datapoints,[B],belong to
B,integer parameter,is
