node_1,node_2,edge
Raptor,Random Planar Tensor Reduction,is an acronym for
Raptor,train-free method,is a
Raptor,volumetric data,generates embeddings for
Raptor,frozen 2D foundation model,leverages
frozen 2D foundation model,natural images,pretrained on
Raptor,visual tokens,extracts
visual tokens,cross-sections of medical volumes,extracted from
Raptor,random projections,uses for spatial compression
random projections,computational complexity,reduces
Raptor,state-of-the-art methods,outperforms
Raptor,SuPreM,outperforms by +3%
Raptor,MISFM,outperforms by +6%
Raptor,Merlin,outperforms by +10%
Raptor,VoCo,outperforms by +13%
Raptor,SLIViT,outperforms by +14%
Raptor,costly training,bypasses need for
current challenges,foundational models for volumetric imaging,include
computational complexity,training state-of-the-art architectures,is a challenge for
large datasets of volumes,training foundational models,are required for
Raptor,deep learning-based methods,foundation for advancing
Raptor,medical volumes,applied to
volumetric data,healthcare,essential in
volumetric data,human-computer interaction,essential in
volumetric data,autonomous systems,essential in
volumetric modalities,3-dimensional voxels,represented as
volumetric modalities,meshes,represented as
volumetric modalities,point clouds,represented as
volumetric modalities,2-D images,pose logistical challenges compared with
convolutional architectures,images,designed for
transformer architectures,images,designed for
convolutional architectures,volumes,adapting to volumes is computationally challenging due to cubic or higher order costs
transformer architectures,volumes,adapting to volumes is computationally challenging due to cubic or higher order costs
training objectives,computational challenges,development of novel training objectives helps overcome computational hurdles
efficient architectures,computational challenges,development of efficient architectures helps overcome computational hurdles
large-scale compute infrastructure,computational challenges,access to large-scale compute infrastructure helps overcome computational hurdles
large-scale compute infrastructure,most research settings,remains out of reach in most research settings
3D medical datasets,2D image datasets,3D medical datasets are several orders of magnitude smaller than 2D image datasets
largest 3D medical datasets,160K volumes,largest 3D medical datasets contain 160K volumes
2D image datasets,1.2B images,2D image datasets contain 1.2B images
large models for medical volumes,benefits of scaling,few works have experimentally demonstrated benefits of scaling large models for medical volumes
large models for natural images,capabilities,large models for natural images have well-established capabilities
