node_1,node_2,edge
Pixel-level Certified Explanations,Randomized Smoothing,uses
Post-hoc attribution methods,deep learning predictions,explain
attribution map,input perturbations,altered by
certification framework,pixel-level robustness,guarantees
certification framework,black-box attribution method,works for
certification framework,Randomized Smoothing,uses
attribution maps,sparsifying,processed by
attribution maps,smoothing,processed by
segmentation problem,pixel importance,certifies
pixel importance,ℓ2-bounded perturbations,certified against
evaluation metrics,certified robustness,assess
evaluation metrics,localization,assess
evaluation metrics,faithfulness,assess
certified attributions,robust,are
certified attributions,interpretable,are
certified attributions,faithful,are
certified attributions,downstream tasks,enables reliable use in
autonomous driving,explainability methods,requires understanding of reasoning behind model predictions
medical imaging,explainability methods,requires understanding of reasoning behind model predictions
judicial system,explainability methods,requires understanding of reasoning behind model predictions
Post-hoc attribution methods,image pixels,identify most influential for model prediction
attribution methods,non-robust,are highly
input perturbations,attribution maps,can significantly alter
input perturbations,predictions,leave unchanged
vulnerability,trust in attribution methods,undermines
explanations,critical decisions,directly influence
attribution methods,critical decisions,directly influence
pixel-level certification methods,robustness of each pixel’s importance value,rigorously guarantee
pixel-level certification methods,trustworthy model explanations,crucial for
previous work,attribution robustness,addresses
previous work,certifying bounds for image-level metrics,uses
image-level bounds,pixel-level robustness,fail to capture
image-level bounds,visual interpretability,lack
image-level bounds,small non-robust subset of pixels,disproportionately affected by
new certification method,pixel-level robustness,guarantees
new certification method,any black-box attribution method,works for
new certification method,"fine-grained, interpretable certified attributions",produces
